index,en_date,en_title,en_link_1,en_desc_1,en_link_2,en_desc_2,tc_date,tc_title,tc_link_1,tc_desc_1,tc_link_2,tc_desc_2,sc_date,sc_title,sc_link_1,sc_desc_1,sc_link_2,sc_desc_2
202,March 2025,Government’s Regulation of Occupational Safety and Health in Construction Industry,https://web.archive.org/web/20250519165600/https://www.ombudsman.hk/wp-content/uploads/2025/04/20250331_DI464_Executive-Summary_EN.pdf,Summary (PDF),,,2025年3月,政府對建造業職業安全及健康的監管,https://web.archive.org/web/20250519165929/https://www.ombudsman.hk/wp-content/uploads/2025/04/20250331_DI464_Full-Report_TC.pdf,全文 (PDF),https://web.archive.org/web/20250519165910/https://www.ombudsman.hk/wp-content/uploads/2025/04/20250331_DI464_Executive-Summary_TC.pdf,摘要 (PDF),2025年3月,政府对建造业职业安全及健康的监管,https://web.archive.org/web/20250522162751/https://www.ombudsman.hk/wp-content/uploads/2025/04/20250331_DI464_Full-Report_SC.pdf,全文 (PDF),https://web.archive.org/web/20250522162725/https://www.ombudsman.hk/wp-content/uploads/2025/04/20250331_DI464_Executive-Summary_SC.pdf,摘要 (PDF)
201,March 2025,Housing Department’s Management of Public Housing Estates: Illegal Parking,https://web.archive.org/web/20250519165629/https://www.ombudsman.hk/wp-content/uploads/2025/03/20250311_DI478_Full-Report_EN.pdf,Report (PDF),,,2025年3月,房屋署對公共屋邨的管理︰違例泊車,https://web.archive.org/web/20250422001130/https://www.ombudsman.hk/wp-content/uploads/2025/03/20250311_DI478_Full-Report_TC.pdf,全文 (PDF),,,2025年3月,房屋署对公共屋邨的管理︰违例泊车,https://web.archive.org/web/20250422002859/https://www.ombudsman.hk/wp-content/uploads/2025/03/20250311_DI478_Full-Report_SC.pdf,全文 (PDF),,
200,February 2025,"Government’s Arrangements for Recovery, Refurbishment and Reallocation of Public Rental Housing Flats",https://web.archive.org/web/20250519165542/https://www.ombudsman.hk/wp-content/uploads/2025/02/20250218_DI473_Executive-Summary_EN.pdf,Summary (PDF),,,2025年2月,當局收回、翻新及重新編配公屋單位的安排,https://web.archive.org/web/20250422004923/https://www.ombudsman.hk/wp-content/uploads/2025/02/20250218_DI473_Full-Report_TC.pdf,全文 (PDF),https://web.archive.org/web/20250422003242/https://www.ombudsman.hk/wp-content/uploads/2025/02/20250218_DI473_Executive-Summary_TC.pdf,摘要 (PDF),2025年2月,当局收回、翻新及重新编配公屋单位的安排,https://web.archive.org/web/20250422010012/https://www.ombudsman.hk/wp-content/uploads/2025/02/20250218_DI473_Full-Report_SC.pdf,全文 (PDF),https://web.archive.org/web/20250421235552/https://www.ombudsman.hk/wp-content/uploads/2025/02/20250218_DI473_Executive-Summary_SC.pdf,摘要 (PDF)
199,January 2025,Government's work in combating abuse of public housing resources,https://web.archive.org/web/20250519165546/https://www.ombudsman.hk/wp-content/uploads/2025/01/20250120_DI468_Executive-Summary_EN.pdf,Summary (PDF),,,2025年1月,當局打擊濫用公屋資源工作的主動調查行動報告,https://web.archive.org/web/20250519165936/https://www.ombudsman.hk/wp-content/uploads/2025/01/20250120_DI468_Full-Report_TC-1.pdf,全文 (PDF),https://web.archive.org/web/20250217075359/https://www.ombudsman.hk/wp-content/uploads/2025/01/20250120_DI468_Executive-Summary_TC.pdf,摘要 (PDF),2025年1月,当局打击滥用公屋资源工作的主动调查行动报告,https://web.archive.org/web/20250422004428/https://www.ombudsman.hk/wp-content/uploads/2025/01/20250120_DI468_Full-Report_SC.pdf,全文 (PDF),https://web.archive.org/web/20250421233954/https://www.ombudsman.hk/wp-content/uploads/2025/01/20250120_DI468_Executive-Summary_SC.pdf,摘要 (PDF)
198,December 2024,Government’s Provision of Public Services Relating to the After-death Arrangements,https://web.archive.org/web/20250519165630/https://www.ombudsman.hk/wp-content/uploads/2024/12/20241216_DI-472_Executive-Summary_EN.pdf,Summary (PDF),,,2024年12月,政府提供辦理先人過世手續相關的公共服務,https://web.archive.org/web/20250519165922/https://www.ombudsman.hk/wp-content/uploads/2024/12/20241216_DI-472_Full-Report_TC.pdf,全文 (PDF),https://web.archive.org/web/20250519165846/https://www.ombudsman.hk/wp-content/uploads/2024/12/20241216_DI-472_Executive-Summary_TC.pdf,摘要 (PDF),2024年12月,政府提供办理先人过世手续相关的公共服务,https://web.archive.org/web/20250422010911/https://www.ombudsman.hk/wp-content/uploads/2024/12/20241216_DI-472_Full-Report_SC.pdf,全文 (PDF),https://web.archive.org/web/20250421233918/https://www.ombudsman.hk/wp-content/uploads/2024/12/20241216_DI-472_Executive-Summary_SC.pdf,摘要 (PDF)
197,November 2024,Leisure and Cultural Services Department’s Handling of Obstructions to Passageways by Bicycles Owned by Operators of Bicycle Rental Services,https://web.archive.org/web/20250102093720/https://www.ombudsman.hk/wp-content/uploads/2024/11/20241118_DI475_Executive-Summary_EN.pdf,Summary (PDF),,,2024年11月,康樂及文化事務署處理單車租賃服務營辦商的單車阻塞通道問題,https://web.archive.org/web/20250519165932/https://www.ombudsman.hk/wp-content/uploads/2024/11/20241118_DI-475_Full-Report_TC.pdf,全文 (PDF),https://web.archive.org/web/20241222170534/https://www.ombudsman.hk/wp-content/uploads/2024/11/20241118_DI475_Executive-Summary_TC.pdf,摘要 (PDF),2024年11月,康乐及文化事务署处理单车租赁服务营办商的单车阻塞通道问题,https://web.archive.org/web/20250421232302/https://www.ombudsman.hk/wp-content/uploads/2024/11/20241118_DI-475_Full-report_SC.pdf,全文 (PDF),https://web.archive.org/web/20250421234252/https://www.ombudsman.hk/wp-content/uploads/2024/11/20241118_DI475_Executive-Summary_SC.pdf,摘要 (PDF)
196,October 2024,Enforcement by Planning Department and Lands Department against Unauthorised Land Developments,https://web.archive.org/web/20250705154924/https://www.ombudsman.hk/wp-content/uploads/2025/06/20241021_DI470_Full-Report_EN.pdf,Report (PDF),https://web.archive.org/web/20250705154918/https://www.ombudsman.hk/wp-content/uploads/2025/06/20241021_DI470_Executive-Summary_EN_v1.pdf,Summary (PDF),2024年10月,規劃署和地政總署對土地違例發展的執管,https://web.archive.org/web/20250705155314/https://www.ombudsman.hk/wp-content/uploads/2025/06/20241021_DI470_Full-Report_TC_v2.pdf,全文 (PDF),https://web.archive.org/web/20250519165930/https://www.ombudsman.hk/wp-content/uploads/2024/10/20241021_DI470_Executive-Summary_TC.pdf,摘要 (PDF),2024年10月,规划署和地政总署对土地违例发展的执管,https://web.archive.org/web/20250705155324/https://www.ombudsman.hk/wp-content/uploads/2025/06/20241021_DI470_Full-Report_SC_v2.pdf,全文 (PDF),https://web.archive.org/web/20250421234433/https://www.ombudsman.hk/wp-content/uploads/2024/10/20241021_DI470_Executive-Summary_SC.pdf,摘要 (PDF)
195,September 2024,Transport Department’s Arrangements for Driving Tests,https://web.archive.org/web/20250519165602/https://www.ombudsman.hk/wp-content/uploads/2024/09/20240902_DI469_Executive-Summary_EN.pdf,Summary (PDF),,,2024年9月,運輸署有關駕駛考試的安排,https://web.archive.org/web/20250519165920/https://www.ombudsman.hk/wp-content/uploads/2024/09/20240902_DI469_Full-Report_TC.pdf,全文 (PDF),https://web.archive.org/web/20250519165840/https://www.ombudsman.hk/wp-content/uploads/2024/09/20240902_DI469_Executive-Summary_TC.pdf,摘要 (PDF),2024年9月,运输署有关驾驶考试的安排,https://web.archive.org/web/20250421235120/https://www.ombudsman.hk/wp-content/uploads/2024/09/20240902_DI469_Full-Report_SC.pdf,全文 (PDF),https://web.archive.org/web/20250422005716/https://www.ombudsman.hk/wp-content/uploads/2024/09/20240902_DI469_Executive-Summary_SC.pdf,摘要 (PDF)
194,March 2024,Regulation of Licensed Swimming Pools by Food and Environmental Hygiene Department,https://www.ombudsman.hk/wp-content/uploads/2024/03/20240305_DI466_Full-Report_EN.pdf,Report (PDF),https://web.archive.org/web/20250522162844/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI466_Executive-Summary_EN.pdf,Summary (PDF),2024年3月,食物環境衞生署對持牌泳池的監管,https://web.archive.org/web/20241227103456/https://www.ombudsman.hk/wp-content/uploads/2024/03/20240305_DI466_Full-Report_TC_updated.pdf,全文 (PDF),https://web.archive.org/web/20241224162328/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI466_Executive-Summary_TC.pdf,摘要 (PDF),2024年3月,食物环境卫生署对持牌泳池的监管,https://web.archive.org/web/20250522162715/https://www.ombudsman.hk/wp-content/uploads/2024/03/20240305_DI466_Full-Report_SC_updated.pdf,全文 (PDF),https://web.archive.org/web/20250522162745/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI466_Executive-Summary_SC.pdf,摘要 (PDF)
193,March 2024,Effectiveness of 1823 in Handling Complaints and Enquiries,https://web.archive.org/web/20250522162716/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI461_Executive-Summary_EN.pdf,Summary (PDF),,,2024年3月,1823處理投訴及查詢的成效,https://web.archive.org/web/20241226012649/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI461_Full-Report_TC.pdf,全文 (PDF),https://web.archive.org/web/20250522162807/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI461_Executive-Summary_TC.pdf,摘要 (PDF),2024年3月,1823处理投诉及查询的成效,https://web.archive.org/web/20250522162802/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI461_Full-Report_SC.pdf,全文 (PDF),https://web.archive.org/web/20250522162823/https://www.ombudsman.hk/wp-content/uploads/2024/02/20240305_DI461_Executive-Summary_SC.pdf,摘要 (PDF)
