index,date,en_link,en_title,tc_link,tc_title,sc_link,sc_title
16,2003/2004,https://web.archive.org/web/20110522092242/http://www.ombudsman.gov.hk/yr16/eng/E_Letter.pdf,Letter to The Chief Executive (PDF),https://web.archive.org/web/20110522103521/http://www.ombudsman.gov.hk/yr16/b5/C_Letter.pdf,致香港特別行政區行政長官信件 (PDF),https://web.archive.org/web/20110522100337/http://www.ombudsman.gov.hk/yr16/gb/SC_Letter.pdf,致香港特别行政区行政长官信件 (PDF)
16,2003/2004,https://web.archive.org/web/20110522093711/http://www.ombudsman.gov.hk/yr16/eng/E_Account.pdf,Statement of Accounts (PDF),https://web.archive.org/web/20110522093422/http://www.ombudsman.gov.hk/yr16/b5/C_Account.pdf,帳目報告書 (PDF),https://web.archive.org/web/20110522092335/http://www.ombudsman.gov.hk/yr16/gb/SC_Account.pdf,帐目报告书 (PDF)
16,2003/2004,https://web.archive.org/web/20110522101754/http://www.ombudsman.gov.hk/yr16/eng/E_History.pdf,History in Brief (PDF),https://web.archive.org/web/20110522101120/http://www.ombudsman.gov.hk/yr16/b5/C_History.pdf,大事紀要 (PDF),https://web.archive.org/web/20110522093514/http://www.ombudsman.gov.hk/yr16/gb/SC_History.pdf,大事纪要 (PDF)
16,2003/2004,https://web.archive.org/web/20110522103303/http://www.ombudsman.gov.hk/yr16/eng/E_Review.pdf,The Ombudsman's Review (PDF),https://web.archive.org/web/20110522100726/http://www.ombudsman.gov.hk/yr16/b5/C_Review.pdf,緒言 (PDF),https://web.archive.org/web/20110522093851/http://www.ombudsman.gov.hk/yr16/gb/SC_Review.pdf,绪言 (PDF)
16,2003/2004,https://web.archive.org/web/20110522101202/http://www.ombudsman.gov.hk/yr16/eng/E_Ch1.pdf,Chapter 1: Administration (PDF),https://web.archive.org/web/20110522102110/http://www.ombudsman.gov.hk/yr16/b5/C_Ch1.pdf,第一章：行政 (PDF),https://web.archive.org/web/20110522093726/http://www.ombudsman.gov.hk/yr16/gb/SC_Ch1.pdf,第一章：行政 (PDF)
16,2003/2004,https://web.archive.org/web/20110522103540/http://www.ombudsman.gov.hk/yr16/eng/E_Ch2.pdf,Chapter 2: Authority and Restrictions (PDF),https://web.archive.org/web/20110522102937/http://www.ombudsman.gov.hk/yr16/b5/C_Ch2.pdf,第二章：權力及權限 (PDF),https://web.archive.org/web/20110522100815/http://www.ombudsman.gov.hk/yr16/gb/SC_Ch2.pdf,第二章：权力及权限 (PDF)
16,2003/2004,https://web.archive.org/web/20110522100927/http://www.ombudsman.gov.hk/yr16/eng/E_Ch3.pdf,Chapter 3: Direct Investigation (PDF),https://web.archive.org/web/20110522092634/http://www.ombudsman.gov.hk/yr16/b5/C_Ch3.pdf,第三章：直接調查 (PDF),https://web.archive.org/web/20110522094519/http://www.ombudsman.gov.hk/yr16/gb/SC_Ch3.pdf,第三章：直接调查 (PDF)
16,2003/2004,https://web.archive.org/web/20110522092857/http://www.ombudsman.gov.hk/yr16/eng/E_Ch4.pdf,Chapter 4: Complaint Handling (PDF),https://web.archive.org/web/20110522102400/http://www.ombudsman.gov.hk/yr16/b5/C_Ch4.pdf,第四章：處理投訴 (PDF),https://web.archive.org/web/20110522094030/http://www.ombudsman.gov.hk/yr16/gb/SC_Ch4.pdf,第四章：处理投诉 (PDF)
16,2003/2004,https://web.archive.org/web/20110522102255/http://www.ombudsman.gov.hk/yr16/eng/E_Ch5.pdf,Chapter 5: Caseload and Challenges (PDF),https://web.archive.org/web/20110522102500/http://www.ombudsman.gov.hk/yr16/b5/C_Ch5.pdf,第五章：工作與挑戰 (PDF),https://web.archive.org/web/20110522100452/http://www.ombudsman.gov.hk/yr16/gb/SC_Ch5.pdf,第五章：工作与挑战 (PDF)
16,2003/2004,https://web.archive.org/web/20110522100633/http://www.ombudsman.gov.hk/yr16/eng/E_Ch6.pdf,Chapter 6: Findings and Fruits of Investigation (PDF),https://web.archive.org/web/20110522093233/http://www.ombudsman.gov.hk/yr16/b5/C_Ch6.pdf,第六章：調查結果與工作成果 (PDF),https://web.archive.org/web/20110522103329/http://www.ombudsman.gov.hk/yr16/gb/SC_Ch6.pdf,第六章：调查结果与工作成果 (PDF)
16,2003/2004,https://web.archive.org/web/20110522104336/http://www.ombudsman.gov.hk/yr16/eng/E_Ch7.pdf,Chapter 7: Public Education and External Relations (PDF),https://web.archive.org/web/20110522101644/http://www.ombudsman.gov.hk/yr16/b5/C_Ch7.pdf,第七章：公眾教育與對外關係 (PDF),https://web.archive.org/web/20110522104037/http://www.ombudsman.gov.hk/yr16/gb/SC_Ch7.pdf,第七章：公众教育与对外关系 (PDF)
